Comment,Video Popularity,Comment Popularity,gender_of_sport,club_region,language,sexism,racism,violence,appearance,ability,non_offensive,has_hate,hate_type_count
Só eu acha estranho? Essa veneração?,1,1,Male,Latin America,pt,False,False,False,False,False,True,False,0
goat,0,2,Male,England,hr,False,False,False,False,False,True,False,0
Big ups Arsenal!!!,1,2,Male,England,ca,False,False,False,False,False,True,False,0
👉Parabéns  Yuri  você  é o melhor  👈🤍🖤🤍🖤🤍🖤🤍🖤💥💯⚽️🏅🏆🎉🎉🎉🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,1,1,Male,Latin America,pt,False,False,False,False,False,True,False,0
ขอให้อาร์เซนอลเล่นดุดันแบบนี้ตลอดไปครับอย่าไปเปลี่ยนแนวเล่น❤❤❤,2,1,Male,England,th,False,False,False,False,False,True,False,0
Só faltou o time fazer o poropopó,1,1,Male,Latin America,pt,False,False,False,False,False,True,False,0
É  o Talles mágico  porra!!🔥🔥🔥VAi CORINTHIANS!!🖤 🤍 🖤 🤍,1,1,Male,Latin America,pt,False,False,False,False,False,True,False,0
Love you Ø❤,1,0,Male,England,cs,False,False,False,False,False,True,False,0
Primeiro,1,1,Male,Latin America,pt,False,False,False,False,False,True,False,0
Tomi 😍,1,2,Male,England,fi,False,False,False,False,False,True,False,0
Esse cara é excelente,1,2,Male,Latin America,pt,False,False,False,False,False,True,False,0
آرسنال در ایران خیلی طرفدار دارد🇮🇷🇮🇷❤❤,1,0,Male,England,fa,False,False,False,False,False,True,False,0
VAMOS CORINTHIANS MEU TIMÃO ⚽️🖤⚽️🖤,1,2,Male,Latin America,vi,False,False,False,False,False,True,False,0
En route pour la ligue 1!!!!,1,1,Male,France,fr,False,False,False,False,False,True,False,0
Set Piece FC ❤️,1,2,Male,England,pl,False,False,False,False,False,True,False,0
"Ouiiiiii ! On y est enfin, en ligue 1. J’ai hâte que le mois d’août arrive, pour la reprise. 💙 Paris fc 💙",1,2,Male,France,fr,False,False,False,False,False,True,False,0
"Sentimos muita falta de ver os jogadores treinando posicionamento tático, sistema defensivo, transição meio campo e ataque....",1,1,Male,Latin America,pt,False,False,False,False,False,True,False,0
Nunca ouvi falar,1,1,Male,Latin America,ro,False,False,False,False,False,True,False,0
É gigante pra quem ama e lhe quer bem,1,1,Male,Latin America,pt,False,False,False,False,False,True,False,0
MLS Love you 😊❤,1,2,Male,England,cs,False,False,False,False,False,True,False,0
Xhaka 3D Goàaaal so Brilliant ❤,1,2,Male,England,so,False,False,False,False,False,True,False,0
Esse cara parece o elfo que cuida do banco do Harry Potter.,1,2,Male,Latin America,pt,False,False,False,True,False,False,True,1
💙🤍🖤,1,2,Male,France,unknown,False,False,False,False,False,True,False,0
All 4 goals are from crosses,2,1,Male,England,ca,False,False,False,False,False,True,False,0
B looks teky,1,1,Male,England,et,False,False,False,False,False,True,False,0
💙🤍,0,1,Male,France,unknown,False,False,False,False,False,True,False,0
lord Bendtner,0,1,Female,England,da,False,False,False,False,False,True,False,0
Zinnen wende 25,1,1,Female,Germany,nl,False,False,False,False,False,True,False,0
"Видимо, Хавертц расцеловал Сака",1,1,Male,England,bg,False,False,False,False,False,True,False,0
Brave ragazze,1,1,Female,Italy,hr,False,False,False,False,False,True,False,0
COYG!!,1,1,Male,England,cy,False,False,False,False,False,True,False,0
اندومبلي جيسوس,1,0,Male,Italy,ur,False,False,False,False,False,True,False,0
W,0,1,Female,England,sw,False,False,False,False,False,True,False,0
Killer kai 😎,2,0,Female,England,fi,False,False,False,False,False,True,False,0
YES FRIDAAAA,0,2,Female,England,tr,False,False,False,False,False,True,False,0
Auguri presidente!😊,0,1,Male,Italy,ro,False,False,False,False,False,True,False,0
ايه ده بس يا عمنا 🤯🤯❤️❤️,0,1,Female,England,fa,False,False,False,False,False,True,False,0
Franchement  rien pls que René girard  ils montera pas en ligue 1,0,1,Male,France,fr,False,False,False,False,False,True,False,0
Asrinal❤🇬🇦🇬🇦,2,1,Male,England,tl,False,False,False,False,False,True,False,0
"Bon anniversaire RK 😂😂😂
Mention spéciale aux RSF 😂😂😂🖕🖕🖕",1,1,Male,France,fr,False,False,False,False,False,True,False,0
Vfl vfl vfl 💚🤍🐺🇩🇰,0,1,Female,Germany,da,False,False,False,False,False,True,False,0
👏👏👏👏👏👏👏👏👏,1,1,Male,England,unknown,False,False,False,False,False,True,False,0
3:39 😂,1,1,Female,England,unknown,False,False,False,False,False,True,False,0
"שלום שלום שלום מלכי דאל דומורני. אנחנו אהבים אותך❤❤❤. 

Shalom shalom shalom Melchie Daelle Dumornay. we love you ❤❤❤",2,1,Female,France,he,False,False,False,False,False,True,False,0
"Dans fc23 elle colle de bons buts comme Mathilde Bourdieu 😁 ! Respect à vous. Trop peu reconnu les filles dans le foot. 

Tout mon soutient. J'espère un jour vous voir jouer ❤",2,1,Female,France,fr,False,False,False,False,False,True,False,0
Mdr 😂😂,1,1,Male,France,cy,False,False,False,False,False,True,False,0
Kai bloodclaart haverts,1,1,Male,England,nl,False,False,True,False,False,False,True,1
Allez Melchie 🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹,2,1,Female,France,unknown,False,False,False,False,False,True,False,0
❤️💙🥹,0,1,Female,France,unknown,False,False,False,False,False,True,False,0
⚪🔵🇮🇹❤️❤️❤️❤️❤️❤️❤️❤️❤️,0,0,Female,Italy,unknown,False,False,False,False,False,True,False,0
Allez l’OL ❤️💙,0,1,Female,France,hu,False,False,False,False,False,True,False,0
😍,0,2,Female,Germany,unknown,False,False,False,False,False,True,False,0
Allez l’OL ❤️💙,2,1,Female,France,fr,False,False,False,False,False,True,False,0
Lyon 🔥🔥🔥,0,1,Female,France,tl,False,False,False,False,False,True,False,0
Allez l’OL ❤️💙,2,0,Female,France,hu,False,False,False,False,False,True,False,0
🔴🔵🦁✨,2,2,Female,France,unknown,False,False,False,False,False,True,False,0
🔴🔵🦁✨,0,1,Female,France,unknown,False,False,False,False,False,True,False,0
Ce format est tres interessant merci OLF :),2,2,Female,France,ca,False,False,False,False,False,True,False,0
❤💋💋💋🇭🇹,2,2,Female,France,unknown,False,False,False,False,False,True,False,0
🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🌷🌷,2,0,Female,France,unknown,False,False,False,False,False,True,False,0
Aller pfc🟦⬜,0,0,Female,France,da,False,False,False,False,False,True,False,0
Allez l’OL ❤️💙 merci pour l’inside,2,2,Female,France,fr,False,False,False,False,False,True,False,0
❤️💙🥰,2,1,Female,France,unknown,False,False,False,False,False,True,False,0
sut les tirs au but le photographe du paris FC me fait trop rirent,2,2,Female,France,fr,False,False,False,False,False,True,False,0
🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹,2,1,Female,France,unknown,False,False,False,False,False,True,False,0
Objectif: empocher trois points pour revenir à quatre points du leader à six journées de la fin. 💠🟦💠,0,1,Female,France,fr,False,False,False,False,False,True,False,0
❤❤❤❤❤❤❤❤❤❤❤❤,2,1,Female,France,unknown,False,False,False,False,False,True,False,0
Allez l'OL,0,2,Female,France,hu,False,False,False,False,False,True,False,0
Ouahh!!!,2,1,Female,France,id,False,False,False,False,False,True,False,0
Forza azzurre 💙,2,1,Female,Italy,hu,False,False,False,False,False,True,False,0
dommage une fille d'expérience qui quittent le club,2,2,Female,France,fr,False,False,False,False,False,True,False,0
Allez PFC !,1,2,Female,France,hu,False,False,False,False,False,True,False,0
🔴🔵,2,1,Female,France,unknown,False,False,False,False,False,True,False,0
Ballon d'OR !!!!!,0,0,Female,France,ca,False,False,False,False,False,True,False,0
Lyon 🔥🔥🌟🌟🌟,2,1,Female,France,tl,False,False,False,False,False,True,False,0
👏👏👏,0,0,Female,France,unknown,False,False,False,False,False,True,False,0
💙❤️😍,0,0,Female,France,unknown,False,False,False,False,False,True,False,0
Vraiment excellent......Quelques questions: çà se passait où? A quand le prochain tour? Et contre qui? Et encore bravo! Arsenal c'est un très gros morceau....,2,2,Female,France,fr,False,False,False,False,False,True,False,0
VRAIMENT J'y croyait pas elle ont vraiment fait un exploit incroyable trop content pour Julie Dufour elle méritent de jouer dans une équipe comme ça,2,2,Female,France,fr,False,False,False,False,False,True,False,0
Lyon Good job 🔥🔥🔥🔥🔥🔥,2,2,Female,France,so,False,False,False,False,False,True,False,0
Quel kiff ce match!!!! Maintenant il faut aller chercher la qualification 💪💪💪💪,2,2,Female,France,fr,False,False,False,False,False,True,False,0
"Ouverture prioritaire des abonnements : jeudi 19 juin.

Cette phase est uniquement réservée aux abonnés des deux dernières saisons.
Vous avez jusqu’au dimanche 22 juin inclus pour bénéficier de cette priorité.... Nous sommes le 24/06 et il est toujours impossible de s'abonné sur leur site. Avez-vous des infos?",0,0,Female,France,fr,False,False,False,False,False,True,False,0
🎉🎉❤,0,1,Female,France,unknown,False,False,False,False,False,True,False,0
"Célina en EDF, tu as ta place. J'adore et je suis le foot féminin depuis plus de 15ans. Tous les championnats mondiaux m'intéressent.  Ça monte en puissance chez les filles, génial.",0,1,Female,France,fr,False,False,False,False,False,True,False,0
Aller René  pfc en ligue des champions,0,1,Female,France,fr,False,False,False,False,False,True,False,0
🙏🙏🙏🙏🙏🙏🙏🙏❤❤❤❤❤❤❤❤❤,0,1,Female,France,unknown,False,False,False,False,False,True,False,0
Bravo Reims.,2,1,Female,France,lt,False,False,False,False,False,True,False,0
Bravo MADAME,2,1,Female,France,sk,False,False,False,False,False,True,False,0
"Depuis leur poisson d’avril avec Usain Bolt, dès que je vous en suggestion leur vidéo je ne les prends jamais au sérieux",0,1,Female,France,fr,False,False,False,False,False,True,False,0
💔💔💔,2,1,Female,France,unknown,False,False,False,False,False,True,False,0
Bamba 🇨🇮,2,0,Female,France,sw,False,False,False,False,False,True,False,0
Interessant haha💚🤍,0,1,Female,Germany,id,False,False,False,False,False,True,False,0
Bravo Mariiieee!!!,0,1,Female,France,ro,False,False,False,False,False,True,False,0
🔴🔵🦁✨,2,2,Female,France,unknown,False,False,False,False,False,True,False,0
Bonjour depui 🇭🇹🇭🇹🇭🇹 woaw 🎉🎉🎉🎉🎉,0,1,Female,France,pl,False,False,False,False,False,True,False,0
J'espère que OL va rencontrer Chelsea !!!!!!!,0,0,Female,France,ca,False,False,False,False,False,True,False,0
Bravo l'ol ❤❤❤❤❤❤,2,2,Female,France,sk,False,False,False,False,False,True,False,0
Possible retour en équipe de France ??,2,1,Female,France,fr,False,False,False,False,False,True,False,0
👌👌👌👌,1,1,Female,France,unknown,False,False,False,False,False,True,False,0
Good job 🔥🔥🔥🔥🔥 Lyon,0,1,Female,France,so,False,False,False,False,False,True,False,0
Good job Lyon,0,0,Female,France,so,False,False,False,False,False,True,False,0
Allez l’OL ❤️💙,0,0,Female,France,hu,False,False,False,False,False,True,False,0
We love you :),2,0,Female,France,cs,False,False,False,False,False,True,False,0
Allez OL 🇭🇹🇭🇹🇭🇹,2,2,Female,France,hu,False,False,False,False,False,True,False,0
Luv ya Wendy 💪,0,1,Female,France,sw,False,False,False,False,False,True,False,0
👌,1,0,Female,France,unknown,False,False,False,False,False,True,False,0
Bien Name o klm rek. DIEU EST AU CONTROLE. MA SHA ALLAH,0,0,Female,France,af,False,False,False,False,False,True,False,0
a la fin il vient carrément sur le terrain,2,1,Female,France,fr,False,False,False,False,False,True,False,0
🔴🔵🦁✨👏🫡,2,1,Female,France,unknown,False,False,False,False,False,True,False,0
"Aller ! On peut le faire ! Si on gagne demain contre Martigues, on est en ligue 1. 💙 Paris FC 💙",2,2,Female,France,fr,False,False,False,False,False,True,False,0
👏👏👏,2,1,Female,France,unknown,False,False,False,False,False,True,False,0
Forza Azzurre 💖,1,1,Female,Italy,hu,False,False,False,False,False,True,False,0
La sortie d'Eugénie aurait méritée d'être dans le résumé...,2,1,Female,France,fr,False,False,False,False,False,True,False,0
Παναγία μου ΤΙ ΜΟΥΝΙ ΕΙΝΑΙ ΑΥΤΟΟΟΟ!!!!!!!!!!,2,0,Female,Italy,el,True,False,True,False,False,False,True,2
Je suis morte elles sont pommé à la fin 🤣🤣🤣,1,1,Female,France,fr,False,False,False,False,False,True,False,0
"Liebe Merle, 

ich freue mich zwar, dass du hier wieder mit so viel Elan bei der Sache bist, 
aber so möchte ich dich am liebsten nicht nur beim VfL in Aktion sehen, 
sondern auch im Trikot der Nationalelf.

Natürlich, wir Fans können nicht immer alle Hintergründe kennen.
Wir wissen nicht, was Horst Hrubesch zu dir gesagt hat. Oder Michael Fuchs. Oder Christian Wück. Oder wer auch immer.
Wir wissen auch nicht, wie du selber deine Leistungen der vergangenen Monate betrachtet hast, 
oder wie sehr dir die Situation  im Olympia-Kader zu schaffen gemacht hat.

Aber ein paar Sachen möchte ich dir gerne sagen:

Ich und auch viele andere Fans, wir fanden deine Leistungen besser, als sie von manchen Leuten dargestellt worden sind.
Und Fehler gehören immer dazu, bei jedem einzelnen Torhüter auf der Welt.
Auch Leistungsschwankungen sind im Spitzensport ganz normal.
Niemand kann jeden Tag in Bestform sein.

Du bist Deutschlands beste Torhüterin, und ich denke, dass das auf absehbare Zeit so bleiben wird.
Auch wenn Anne für ihre gehaltenen Elfmeter mit dem Nobelpreis geehrt wird, den großen UEFA-Verdienstorden am Bande erhält, den Bravo-Otto in Gold überreicht bekommt und in den britischen Adelsstand erhoben wird - 
die besten Fähigkeiten unter Deutschlands  Torhüterinnen besitzt - von der Formkurve der kommenden Monate mal abgesehen - nach wie vor du.

In einem Konkurrenzkampf um die Nr. 1 im deutschen Tor hast du alle Trümpfe in der Hand, und ich bin überzeugt, dass es nur eine Frage der Zeit ist, bis du deinen Stammplatz wieder erkämpft haben wirst - wenn du nur willst.

Du hast viele gute Freundinnen im Nationalteam, die dich sehr mögen, denen du wichtig bist und die sehr gerne mit dir zusammen den Weg weitergehen würden. Du hättest alle Möglichkeiten, dich in diesem Kader wohl zu fühlen.
You'll never walk alone, heißt es doch immer.

Und dann sind da noch wir Fans.
Du weißt ja, dass du bei uns außerordentlich beliebt bist, schon seit geraumer Zeit.
In den kommenden Jahren warten tolle Länderspiel-Turniere, in der Schweiz, in Brasilien und in Kalifornien.

Anne wird vermutlich nicht mehr lange spielen, ihr Engagement in New York ist wohl ihr letzter großer Vertrag.
Stina, Ena und Mala sind noch nicht so weit. 
Im DFB-Trainerstab wissen sie, dass sie im Endeffekt auf dich setzen müssen, Merle.
Es spricht doch so vieles dafür, weiterhin für Deutschland zu spielen.

Willst du es dir nicht nochmal überlegen?
Du wärest nicht die erste Spitzensportlerin, die ein Comeback wagt. 

Deutschland braucht dich.

So. Morgen bist du erstmal im Stadion auf dem Wurfplatz in Berlin.
Ich auch. Bis dann!

Alles Gute
Nilas",0,2,Female,Germany,de,False,False,False,False,False,True,False,0
Je te revois encore nous mettre la misère sur le stade a Brienne 😅,2,1,Female,France,fr,False,False,False,False,False,True,False,0
I am a Vietnamese and i like Woflsburg,0,2,Female,Germany,no,False,False,False,False,False,True,False,0
🔵⚪🔵⚪🔵⚪💪🔥🔥,1,1,Male,France,unknown,False,False,False,False,False,True,False,0
🐺🌙,0,1,Male,Germany,unknown,False,False,False,False,False,True,False,0
Alles in allem war es schon etwas unglücklich 💚🤍,0,2,Male,Germany,de,False,False,False,False,False,True,False,0
Einfach schön und traurig das zu sehen💚🤍,0,2,Male,Germany,de,False,False,False,False,False,True,False,0
Bravo 👏👏👏 tj s OL Lyon et merçi tjr a melchie Daellee Dumoney 🌪️🌨️🇭🇹🇭🇹🇭🇹🇭🇹📖📖📖 nous taimons beacoup melchie 👑👑👑👑🙏,0,2,Female,France,nl,False,False,False,False,False,True,False,0
Il faut la victoire à Martigues pour disputer le dernier match l'esprit libéré à Charléty et pouvoir faire la fête.,2,2,Female,France,fr,False,False,False,False,False,True,False,0
Bienvenue à Paris. J'espère que vous y serez heureuse,0,1,Female,France,fr,False,False,False,False,False,True,False,0
"C'est dur de ne pas s'enflammer, heureusement que l'entraîneur a bien la tête sur les épaules. 
Allez le PFC !",1,2,Female,France,fr,False,False,False,False,False,True,False,0
Un résumé de l OL. Beau et désespérant.,1,2,Male,France,fr,False,False,False,False,False,True,False,0
Alman Ziel,0,2,Female,Germany,tr,False,False,False,False,False,True,False,0
Chouette apparition d'une ancienne pas si ancienne !,0,1,Female,France,fr,False,False,False,False,False,True,False,0
🔥👏👏,0,1,Female,Germany,unknown,False,False,False,False,False,True,False,0
☝🏻🇹🇷🐺🫡,0,1,Female,Germany,unknown,False,False,False,False,False,True,False,0
Trotzdem mal wieder Mentalität gezeigt!💚🤍,0,2,Male,Germany,de,False,False,False,False,False,True,False,0
Stark haha💚🤍,0,1,Male,Germany,id,False,False,False,False,False,True,False,0
"Fonseca n'a rien à envier à Sage sur ce qu'on lui reprochait en étant un pisse froid dans les grands matchs. Textor l'aurait viré de suite après ce match ça ne m'aurait pas dérangé, c'est une faute professionnelle impardonnable pour moi qui montre que Fonseca n'est pas un grand entraineur mais un entraineur de niveau moyen.",0,1,Male,France,fr,False,False,False,False,False,True,False,0
Merci Perri,0,2,Male,France,ca,False,False,False,False,False,True,False,0
Wirklich geiles Team 💚🤍,0,2,Male,Germany,de,False,False,False,False,False,True,False,0
"Paris FC faite nous gouter à la ligue 1 lannée pro, tous les ans c'est les baragges sans y parvenir",1,1,Male,France,fr,False,False,False,False,False,True,False,0
"Sehr stark!
Und der Laufstil von unserem 9er Alex erinnert ein bisschen an Haaland ;)",0,2,Male,Germany,de,False,False,False,False,False,True,False,0
Grand match de notre Monsieur DICKO préféré.,1,2,Male,France,fr,False,False,False,False,False,True,False,0
Ich finde sie klasse 🐺💚😱,0,1,Male,Germany,de,False,False,False,False,False,True,False,0
En fait on se serait bien passé de t'entendre tellement cette défaite elle est à cause de toi,0,1,Male,France,fr,False,False,False,False,False,True,False,0
🐺🌙,0,2,Female,Germany,unknown,False,False,False,False,False,True,False,0
"Road to ligue 1! Et on reste à Charlety, c'est Notre stade!!!",0,1,Male,France,fr,False,False,False,False,False,True,False,0
Excellente recrue pour le PFC. Bienvenue à elle,1,1,Female,France,fr,False,False,False,False,False,True,False,0
Hoffe auf einen gesunden Konkurrenzkampf im Kasten💚🤍,0,1,Male,Germany,de,False,False,False,False,False,True,False,0
Bei der Stelle mit dem Oreo ist die Sympathie verloren gegangen und dann noch Toffee auf die eins das kann ich nicht verstehen aber ich muss es akzeptieren 😂,1,1,Female,Germany,de,False,False,False,False,False,True,False,0
Arbeitsverweigerung,0,1,Male,Germany,de,False,False,False,False,False,True,False,0
Kovac Nr.1 ....Der perfekte Mann für WOB❤,1,2,Male,Germany,de,False,False,False,False,False,True,False,0
Immer Wolfsburger 💚🤍,0,1,Male,Germany,de,False,False,False,False,False,True,False,0
awosome 🔥🔥🔥,0,2,Female,Germany,af,False,False,False,False,False,True,False,0
On vous a bz🤫🤣💙🤍,2,1,Male,France,cs,False,False,False,False,False,True,False,0
Faite pas les idiot 😑,0,0,Male,France,fr,False,False,False,False,False,True,False,0
Super PERRI,0,2,Male,France,id,False,False,False,False,False,True,False,0
So ein chilliger Typ💚🤍,0,1,Male,Germany,de,False,False,False,False,False,True,False,0
😊,1,1,Male,France,unknown,False,False,False,False,False,True,False,0
vous n'avez vraiment a rougir de votre élimination car vous avez tout donner jusqu'à la fin merci a vous bravos a tous,0,2,Male,France,fr,False,False,False,False,False,True,False,0
ciao l'Europe,0,2,Male,France,ca,False,False,False,False,False,True,False,0
Wir werden dich hier echt vermissen 😢,0,2,Male,Germany,de,False,False,False,False,False,True,False,0
Bravo ! 😀,2,2,Female,France,sk,False,False,False,False,False,True,False,0
"Herzlichen Glückwunsch 20 Jahre 💚
Geile Aktion von Arnold 🔥",1,2,Female,Germany,de,False,False,False,False,False,True,False,0
"So wichtig dass man Zesi und Jenz im Winter verliehen hat, zahlt sich super aus!!",0,1,Male,Germany,de,False,False,False,False,False,True,False,0
Auf geht's Männer! 💚🤍,0,1,Male,Germany,de,False,False,False,False,False,True,False,0
Endlich wieder Heimspiel 💚🤍,0,1,Female,Germany,de,False,False,False,False,False,False,False,0
🐺💚🤍💚,0,2,Female,Germany,unknown,False,False,False,False,False,True,False,0
"Vivi, mein Girl❤",1,1,Female,Germany,de,False,False,False,False,False,True,False,0
Il va falloir travailler dur 😶 Déçu 😞  mais il ne faut rien lâcher pour repartir plus fort 💪🏽,2,2,Male,France,fr,False,False,False,False,False,True,False,0
Haben die marode Hasenhüttl abgerissen! 💚,0,1,Male,Germany,de,False,False,False,False,False,True,False,0
🇹🇷❤️🐺,1,2,Male,Germany,unknown,False,False,False,False,False,True,False,0
Pourvu qu’il reste encore cette saison,0,2,Male,France,fr,False,False,False,False,False,True,False,0
Kevin Behrens bester Mann,0,1,Male,Germany,de,False,False,False,False,False,True,False,0
On espère avoir beaucoup de monde dans les tribunes pour (peut-être) le dernier match à domicile vendredi soir. L'ambiance en tribunes va être énorme !,1,2,Female,France,fr,False,False,False,False,False,True,False,0
💙🤍❤️,1,2,Female,Germany,unknown,False,False,False,False,False,True,False,0
Auch mal die Teams verwechseln  bei 4:00,0,1,Male,Germany,de,False,False,False,False,False,True,False,0
Einmal Wolfsburg immer Wolfsburg 💚🤍,0,1,Female,Germany,de,False,False,False,False,False,True,False,0
"Zu hause dieses Jahr noch ungeschlagen hört sich wie eine Heimmacht an, die Wahrheit ist aber das wir erst ein Spiel gewonnen haben🙃🙃",0,1,Male,Germany,de,False,False,False,False,False,True,False,0
Holt euch den Pokal 🏆 🐺💚 freu mich megaaa  im Stadion dabei zu sein 😍💚,1,2,Male,Germany,de,False,False,False,False,False,True,False,0
Auf geht’s Wolfsburg kämpfen und Siegen!💚🤍,0,1,Male,Germany,de,False,False,False,False,False,True,False,0
Die gute Spielform mitnehmen und die drei Punkte nach Wolfsburg bringen!💚🤍,0,2,Male,Germany,de,False,False,False,False,False,True,False,0
🇹🇷❤️🐺🌙,0,1,Male,Germany,unknown,False,False,False,False,False,True,False,0
Poppi❤❤❤❤,2,2,Male,Germany,fi,False,False,False,False,False,True,False,0
good vibes💚🤍,0,2,Female,Germany,af,False,False,False,False,False,True,False,0
Geil. Ich mag dieses Format… grandios.,0,1,Female,Germany,af,False,False,False,False,False,True,False,0
"Marius Müller so ein unfassbar sympathischer Mensch, hoffe er bekommt nochmal seine Chance auch wenn Kamil fit ist",0,1,Female,Germany,de,False,False,False,False,False,True,False,0
🤍💚✅,0,1,Female,Germany,unknown,False,False,False,False,False,True,False,0
La ligue 1 va être dur je pense.....,0,1,Female,France,fr,False,False,False,False,False,True,False,0
💛💖💛💚 💛💛💖💛💚❤️💛💛🤍💛,0,1,Female,Germany,unknown,False,False,False,False,False,True,False,0
Bienvenue au Paris FC 👍,0,1,Female,France,fr,False,False,False,False,False,True,False,0
kadi ❤❤,0,1,Female,France,so,False,False,False,False,False,True,False,0
Auf ein erfolgreiches Wochenende! 💚🤍,0,1,Female,Germany,de,False,False,False,False,False,True,False,0
Willkommen in Wolfsburg 💚🤍🐺,0,1,Male,Germany,de,False,False,False,False,False,True,False,0
☝🏻🇹🇷🐺🫡,0,1,Female,Germany,unknown,False,False,False,False,False,True,False,0
"Hola, Ari!",0,1,Male,Germany,tr,False,False,False,False,False,True,False,0
Il y’a eu un bug à la fin ?,1,1,Male,France,fr,False,False,False,False,False,True,False,0
🔵paris fc,0,0,Male,France,fr,False,False,False,False,False,True,False,0
Hoffentlich bleibt er,0,2,Female,Germany,de,False,False,False,False,False,True,False,0
Le derby francilien commencera bientôt la saison prochaine.,2,1,Female,France,fr,False,False,False,False,False,True,False,0
"❤💕❤ rien d'autre à dire. Bonne continuation, sois heureuse et profites.",2,1,Female,France,fr,False,False,False,False,False,True,False,0
"Bravo au PFC qui après une très belle saison en LDC l'année dernière continue à progresser encore cette année avec une coupe de France à la clé. Quant à Célina ça fait un bon moment qu'elle mérite sa place chez les Bleues : contrôle du ballon, intelligence du jeu, investissement, qualité des passes : tout y est.",0,1,Female,France,fr,False,False,False,False,False,True,False,0
Y’avait tout simplement pas à faire tourner l’effectif. Tu gagnes ce match tu te retrouves 3ème donc autant mettre toutes les chances de ton côté,0,2,Male,France,fr,False,False,False,False,False,True,False,0
"le PSG avec les yeux sur la CL n'est-il pas en train de fausser le championnat ? défaite contre Nice et Strasbourg, 2 prétendants au top 4 🤠",0,1,Male,France,fr,False,False,False,False,False,True,False,0
"Sehr gutes Spiel, hat Spaß gemacht zu zusehen. Gerne wieder! Svenni - 100mal für die Wölfinnen!!🎉",0,2,Male,Germany,de,False,False,False,False,False,True,False,0
Je change de club préféré je prend PFC,1,1,Female,France,fr,False,False,False,False,False,True,False,0
Vous pensez ils ont refait le gâteau plein de fois ou c’est le même à chaque fois ou ils ont reallumer les bougies ?,0,1,Male,France,fr,False,False,False,False,False,True,False,0
Joueur à la super mentalité. J'avoue que j'ai un peu douté en voyant ses premières titularisations mais il est clairement monté en puissance depuis. Allez Paris !,0,2,Female,France,fr,False,False,False,False,False,True,False,0
🔵⚪,1,1,Male,France,unknown,False,False,False,False,False,True,False,0
"Go PFC ! il faut capitaliser sur les deux derniers matchs, il y a de l'envie, et il nous faut cela ! Objectif League 1 ne pas oublier !!!!!",0,1,Male,France,fr,False,False,False,False,False,True,False,0
L ol !❤❤❤❤❤❤❤,0,2,Male,France,unknown,False,False,False,False,False,True,False,0
Junge ey. Wer schneidet diese Videos?,1,2,Male,Germany,de,False,False,False,False,False,True,False,0
Traum wäre wenn er nochmal für eine oder zwei Saisons bei uns Spielt🎉,0,2,Male,Germany,de,False,False,False,False,False,True,False,0
Weiter so Männer!🐺,0,1,Male,Germany,de,False,False,False,False,False,True,False,0
,1,1,Male,France,unknown,False,False,False,False,False,True,False,0
Das schlechteste Spiel vom VFL seit Jahren… Dauerkarte seit 1997…,1,2,Male,Germany,de,False,False,False,False,False,True,False,0
"First, allez les gars, la saisons prochaine, objectif ligue 1!",2,1,Male,France,fr,False,False,False,False,False,True,False,0
Bitte mehr davon,0,1,Female,Germany,de,False,False,False,False,False,True,False,0
😊💚🐺,0,2,Female,Germany,unknown,False,False,False,False,False,True,False,0
nur der vfl,0,1,Female,Germany,de,False,False,False,False,False,True,False,0
Bien dit name ! T'es le meilleur 🔵,0,1,Female,France,fr,False,False,False,False,False,True,False,0
Hoffentlich kommt Dzeko wieder😢,0,2,Male,Germany,de,False,False,False,False,False,True,False,0
"C'est ça que j'adore chez René Girard, on est leader avec 7 pts d'avance mais malgré ça il calme tout le monde comme si qu'on était en milieu de tableau pour pas que les joueurs s'enflamment. Et c'est cette attitude qui nous permet de prolonger cette belle série contrairement à certains qui auraient déjà chuter",1,0,Female,France,fr,False,False,False,False,False,True,False,0
Geile Einblicke!💚🤍,0,2,Female,Germany,de,False,False,False,False,False,True,False,0
On sera à Charlety ! 🫡,0,0,Female,France,fr,False,False,False,False,False,True,False,0
Youngstar Duo 💚🤍,0,1,Male,Germany,id,False,False,False,False,False,True,False,0
Toute confiance dans le Paris FC ! 😀❤👌👌👌,0,1,Male,France,fr,False,False,False,False,False,True,False,0
Maschinen 🐺🐺,0,1,Female,Germany,de,False,False,False,False,False,True,False,0
Einmal Wolfsburg immer Wolfsburg!!! 💚🤍,0,2,Female,Germany,de,False,False,False,False,False,True,False,0
😍💚🤍,0,2,Female,Germany,unknown,False,False,False,False,False,True,False,0
