comment,sexism,racism,violence,appearance,ability,non-offensive,is_labeled
"Ich bin absolut kein Bayern Fan, eher das Gegenteil, aber das Kimmich da mit Rot vom Platz muss ist echt einfach nur ein Witz.",0,0,0,0,0,1,True
Geil,0,0,0,0,0,1,True
"This video was amazing, learned a lot.",0,0,0,0,0,1,True
"7:01 Mbappe schießt den Freistoß durch die Mauer. Kommentator: ""Mbappe setzt ihn in die Torwartecke."" 😂",0,0,0,0,0,1,True
"Xhaka beschwert sich nach dem Spiel, dass das in der PL nie gegeben würde. 
Junge, er wollte Kane nicht mehr loslassen, was für nicht geben😂",0,0,0,0,0,1,True
Eigentlich ist manual Messi fan,0,0,0,0,0,1,True
Baumann = Die Wand,0,0,0,0,0,1,True
Zweiter gehe,0,0,0,0,0,1,True
Love from India,0,0,0,0,0,1,True
"Very well done, appreciate this video!",0,0,0,0,0,1,True
Rekordkulisse für ein Kreisliga Niveau Spiel.,0,0,0,0,0,1,True
Friends with m2XXIV Fortnite,0,0,0,0,0,1,True
Passiv Abseits bei Mason Mount,0,0,0,0,0,1,True
RODRIGO,0,0,0,0,0,1,True
Wenn ferdi und merih noch spielen kann das was werden,0,0,0,0,0,1,True
MESSI,0,0,0,0,0,1,True
"Ich verstehe nicht wieso das Handspiel von Atletico nicht gepfiffen würde. Selbst die Moderatoren sagten, sie hätten es gesehen.",0,0,0,0,0,1,True
Macht weiter so ihr seit die aller besten❤❤❤,0,0,0,0,0,1,True
😂😂😂,0,0,0,0,0,1,True
Sag mal ehrlich wer  von euch juckt noch die Saudi League,0,0,0,0,0,1,True
"Very well done, appreciate this video!",0,0,0,0,0,1,True
"Psg 🎉was für ein spiel … was für eine Mentalität heute , einfach geillll…",0,0,0,0,0,1,True
Aydin Güler richtig stark,0,0,0,0,0,1,True
David 😂😂😂😂😂😂,0,0,0,0,0,1,True
Ich verstehe die Kommentare. Der Kommentator hat keine Power in der Stimme. Dennoch frage ich mich ob dieser Hass sein muss?,0,0,0,0,0,1,True
Bei gott genau so 😂💀,0,0,0,0,0,1,True
😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎😎,0,0,0,0,0,1,True
Vini went flaying 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,0,0,0,0,0,1,True
Kreisliga C jeden Sonntag,0,0,0,0,0,1,True
Hä meine Schule einfach,0,0,0,0,0,1,True
"Beides Idioten. Hincapie für den Wurf, Rot. Bazee ebenfalls Rot dafür, dass er so tut als ob ihn eine 10kg schwere Kugel getroffen hat.
Was für 2 Lappen.",0,0,1,0,0,0,True
The Rael goat😉,0,0,0,0,0,1,True
Das stärkste cl Team aus Frankreich geschlagen,0,0,0,0,0,1,True
Ich,0,0,0,0,0,1,True
",,Schießt den Ball ins Bernabeu“😂 Bester Kommentar",0,0,0,0,0,1,True
Das geht garnicht,0,0,0,0,0,1,True
Niemals elfee 😂😂😂😂😂,0,0,0,0,0,1,True
"Egal wie kacke ein Spieler ist. Er sollte niemals rassistisch beleidigt werden. Man kann soviel sagen wie man will aber nicht rassistisch. Wenn er sich nicht fair verhält soll er runter gestellt werden. Und Affe ist ganz klar eine rassistische Beleidigung da muss man nicht drum herum reden. Wenn er deine Mutter beleidigt, beleidige seine Mutter zurück. Das wäre vernünftig.",0,0,1,0,1,0,True
"Was ein Schiri, so einen hätte ich damals gebraucht",0,0,0,0,0,1,True
And happy birthday 🎂 ❤❤,0,0,0,0,0,1,True
"Bellingham ist halt ein riesiger assi, gibt wenige Spieler die mehr abgehoben sind als der. Ich gönne ihm alles schlechte dieser Welt und er passt perfekt zu diesem drecksverein",0,0,1,0,0,0,True
Missi❤❤,0,0,0,0,0,1,True
Leider Kein euro Meister aber wir wissen das es eigentlich so gewesen wäre,0,0,0,0,0,1,True
Lautaros Chance in der zweiten Halbzeit einfach Mal komplett ignoriert. Dabei war seine Chance als die Chancen der Bayern am gefährlichsten(mit Ausnahme von Kanes)! Aber Hauptsache von schmeichelhafte Führung Inters sprechen....,0,0,0,0,0,1,True
Kimmich und Sane raus.,0,0,0,0,0,1,True
Bitte nur noch Videos mit den ogs,0,0,0,0,0,1,True
Real Madrid doesn’t have to wonder!,0,0,0,0,0,1,True
Kolomuani nicht dabei?Hat das keine Erwähnung verdient?,0,0,0,0,0,1,True
Lächerlich,0,0,0,0,0,1,True
"Spoiler Schutz ,❤️",0,0,0,0,0,1,True
⚽️⚽️⚽️💘,0,0,0,0,0,1,True
😂😂😂,0,0,0,0,0,1,True
S,0,0,0,0,0,1,True
Starke Leistung von Nübel und drei Tore durch deutsche Spieler - Nagelsmann dürfte sich mit dem VfB gefreut haben.,0,0,0,0,0,1,True
4,0,0,0,0,0,1,True
ihr maschinen :),0,0,0,0,0,1,True
"Baumann war Wahnsinn und absolut das Spiel dominiert Hälfte 1 sowie am meisten Hälfte 2. 
Goretzka sofort abgeliefert er wird enorm wichtig werden für die WM sowie aber auch alle anderen.",0,0,0,0,0,1,True
Ungarn grottenschlecht 1-6 😭😭😭,0,0,0,0,0,1,True
The first goal was perfect..,0,0,0,0,0,1,True
Liverpool ❤❤,0,0,0,0,0,1,True
Sorry aber kaum ist Kimmich raus ist viel mehr Geschwindigkeit im Spiel !,0,0,0,0,0,1,True
kid lewandowski was skilling everyone lol,0,0,0,0,0,1,True
Beier my club legend in fc 24,0,0,0,0,0,1,True
Wo ist Arda ?  Ups der darf ja unter Anceloti kein Fußball spielen!,0,0,0,0,0,1,True
Ergebnis im Video und im Titel muss echt nicht,0,0,0,0,0,1,True
Wer das liest bleibt Hoffentlich gesund 🎉,0,0,0,0,0,1,True
Ben türküm ulan auuu🤘🤘🤘🤘🤘,0,0,0,0,0,1,True
1,0,0,0,0,0,1,True
Du vermittelst Fairness und Empathie. Vielen Dank dafür! Im Fußball sieht man das leider nicht oft.,0,0,0,0,0,1,True
2025 und ihr verwendet immer noch „gesteskrank“ wow,0,0,0,0,0,1,True
"Salina
❤❤❤❤",0,0,0,0,0,1,True
Geisteskrank wenn man nicht zwei klägliche Versuche davor gehabt hätte.,0,0,0,0,0,1,True
1,0,0,0,0,0,1,True
Wenn das so ist geil,0,0,0,0,0,1,True
First 🥇 suiiiiiiiiiii!!,0,0,0,0,0,1,True
Das war ein Elfmeter vor dem Tor,0,0,0,0,0,1,True
Arme Bosnien 🤦,0,0,0,0,0,1,True
"Keine Ahnung was man zu dem Typen noch sagen soll! Das erste wie Messi, das zweite wie Gerd Müller und dann eine Rakete per Kopf. Steal des Jahres vom VfB!",0,0,0,0,0,1,True
"Hatte Albanien keine Torchance? Oder nur in der Zusammenfassung?
Mir macht das mit Tuchel etwas Sorge. Der krasse Kader mit nem gutem Trainer.",0,0,0,0,0,1,True
Serbien holt die Gruppe,0,0,0,0,0,1,True
Mainz05,0,0,0,0,0,1,True
Ali 31,0,0,0,0,0,1,True
Cringe,0,0,0,0,0,1,True
"Great job, this video was very useful!",0,0,0,0,0,1,True
Danke VFB!!!! Hätte ein Finale RB vs. Arminia nicht ertragen! Jetzt holt euch den Pott!,0,0,0,0,0,1,True
Es ist wieder vizekusen,0,0,0,0,0,1,True
Vamos,0,0,0,0,0,1,True
Jeder,0,0,0,0,0,1,True
"Bologna ist wirklich gut geworden, das gefällt mir sehr gut",0,0,0,0,0,1,True
"Wer das Spiel gesehen hat, Schlotterbeck so abgerissen heute, allgemein unsere Abwehr Bockstark!",0,0,0,0,0,1,True
Stop crying your heart out! 🚬🗿,0,0,0,0,0,1,True
MESSI the g.o.a.t,0,0,0,0,0,1,True
"Dieser Kommentator ist eine Frechheit.. ekelhaft wie parteiisch man sein kann, soll bei barca lutschen gehen",0,0,1,0,1,0,True
"Eine Frechheit dieser Antifußball !
Beide Mannschaften sollten für Jahre aus dem DFB Pokal ausgeschlossen werden !!!",0,0,0,0,0,1,True
Marcel Müller = Marcel scorer,0,0,0,0,0,1,True
Er hat den Angelo Stiller ausgepackt,0,0,0,0,0,1,True
"Sevilla jubelt nach dem 1:3, Frage warum?",0,0,0,0,0,1,True
"Und Stuttgart muss nächste Woche gegen PSG punkten, das wird schwer",0,0,0,0,0,1,True
"Wenn du beim Sportstudio siehst das ein Video über 10min liegt, weißt du es war ein interessantes Spiel 😂",0,0,0,0,0,1,True
12 Bitte das ist meine Trikot Nummer,0,0,0,0,0,1,True
Ihr seid einfach die besten,0,0,0,0,0,1,True
🎉,0,0,0,0,0,1,True
Danke auch für 400 tausend Aufrufe bei meinem SUI Ronaldo Song 🧡🧡,0,0,0,0,0,1,True
Alter Baumann. Heftig der hat Bock 🎉,0,0,0,0,0,1,True
Vini going to fly😂😅,0,0,0,0,0,1,True
Top 3 Europa,0,0,0,0,0,1,True
Mrtvi Sporting nije mogao da dobije kod kuće prosečni mali Dortmund koga svi redom jebu u bundes ligi,0,0,0,0,0,0,False
Ich bin beim trening gut und spiel auch ich bin sturmer,0,0,0,0,0,1,True
"Musiala ist einfach irre. Schade, dass er sich nicht mit einem Tor belohnen konnte. Hätte er verdient. Der Junge ist Gold wert.",0,0,0,0,0,1,True
Respekt SO macht man das sehr gut👍,0,0,0,0,0,1,True
"„Geisteskrank“ ist ein echt diskriminierendes Wort, vielleicht kann man ja versuchen, das aus seinem Wortschatz zu streichen 🫶",0,0,0,0,0,1,True
"Brown hat gut gespielt. Hat auch viel abbekommen. Der arme Junge lag ständig am Boden. Was mir aber auffiel ist, dass er kein Auge für Steilpässe hat. Da hätte er starke Vorlagen für ein eventuelles Tor geben können.",0,0,0,0,0,1,True
".... 00:07 Fehler Neuer!!!!

Ihn da so anzuspielen!",0,0,0,0,0,1,True
Du bist der beste,0,0,0,0,0,1,True
3❤,0,0,0,0,0,1,True
Desire Doue ist ein top Offensivspieler ❤️🇫🇷👍🏻✌🏻⚽👀💪😍😊,0,0,0,0,0,1,True
wer kennt ihn nicht atscheti,0,0,0,0,0,1,True
"1h gang😎
👇🏽",0,0,0,0,0,1,True
Europäischen Türkenhasser haben  klare Elfmeter nicht gegeben .,0,1,1,0,0,0,True
Nr 359,0,0,0,0,0,1,True
"Sane gegen die schwachen... Ich kann kicken. Sagen gegen die starken... fussball, was ist das?!😂😂",0,0,0,0,0,1,True
"Alles schön und gut mit dem 7-0 aber warum Spielt Rüdiger 90 Minuten obwohl fas Spiel schon in der Ersten Halbzeit Entschieden war? Rüdiger hätte Ausgewechelt werden müssen, der hat zuviele Spiele schon auf den Beinen und das Verletzungsrisiko bei Rüdiger ist sehr groß, aber das Interessiert Nagelsmann nicht!",0,0,0,0,0,1,True
Bei Nagelsmann war man schon falsch,0,0,0,0,0,1,True
Ronaldo,0,0,0,0,0,1,True
Das mit Müller nicht verlängert wird aber ein Verletzungsanfälliger Neuer einen Neuen Vertrag bekommt ist extremst lächerlich. Bayern macht sich immer mehr zum Gespött der Liga.,0,0,0,0,0,1,True
"Klasse Leistung, klasse Mannschaft, ich denke die Jungs von PSG sind nicht nur glänzend  in ihrer Leistung,  sondern auch haben  großen Spaß am Fussballspielen. Sie wollen dass die Fans und überhaupt Zuschauer auf ihre Kosten kommen.

Liverpool wohl das beste Team, wenn man ihre konstanten Leistungen betrachtet, auch sie waren sehr gut. Es ist sehr schade, dass so ein Team bereits im Achtelfinale raus ist.

Danke an beide Teams für den Kampf bis zur  letzten Sekunde, diese Dramatik und Fußballromantik gleichzeitig,  Und  für die Augenweide, was sie uns angeboten haben!",0,0,0,0,0,1,True
Neuer macht den Kahn und hat NULL Chancen den Ball zu spielen.,0,0,0,0,0,1,True
"An alle City shitter die zum Hinspiel noch so Großmäulig waren, nächstes mal provoziert vielleicht nachdem ihr Resultate gezeigt habt. Aber Real wird immer euere Endstation sein. In diesem Sinne Hala Madrid 🤍",0,0,1,0,0,0,True
Kommentar aus dem Schlafzimmer . Einfach peinlich .,0,0,0,0,0,1,True
Vini 💀💀💀💀💀💀💀💀,0,0,0,0,0,1,True
❤❤❤❤❤❤,0,0,0,0,0,1,True
"Schade, dass Arda nicht öfter spielt, aber schätze mal, dass er erst noch ne Zwischenstation benötigt",0,0,0,0,0,1,True
Ronaldo ❤❤❤❤❤❤❤❤❤❤❤ siuuuuuuuy,0,0,0,0,0,1,True
Bro das erste Tor hätte man schon halten können,0,0,0,0,0,1,True
11 das ist meine erste Nummer,0,0,0,0,0,1,True
"This video was amazing, learned a lot.",0,0,0,0,0,1,True
The use of icons made the video the expectedly bette,0,0,0,0,0,1,True
Celine is do tall as a girl but today💀💀,1,0,0,1,0,0,True
Beier,0,0,0,0,0,1,True
Woraus den?,0,0,0,0,0,1,True
Ihr seid es die widerlich sind!,0,0,0,0,0,1,True
6:21 KLARER ELFER,0,0,0,0,0,1,True
Jeder verlorene Punkt für VARdrid ist ein gewonnener Punkt ❤❤❤,0,0,0,0,0,1,True
Mach bitte 11,0,0,0,0,0,1,True
Rodrigp,0,0,0,0,0,1,True
Ey Schiri macht er das noch einmal... Dann machst du nichts😂Ja dann mach ich auch nichts,0,0,0,0,0,1,True
12,0,0,0,0,0,1,True
"Jaaa, bitte mehr mit Abos",0,0,0,0,0,1,True
Livakovic🙌,0,0,0,0,0,1,True
Saka😂👇,0,0,0,0,0,1,True
"arsenal hätte auch 100 tore schießen, trotzdem wird loverpool meister.",0,0,0,0,0,1,True
Jetzt im Rückspiel standhalten 💪🏻,0,0,0,0,0,1,True
Überhaupt einen Dortmunder Spieler nach den Leistungen der vergangenen MONATE/ Jahre zu nominieren ist einfach fahrlässig,0,0,0,0,0,1,True
00:20 - wie schnell er da plötzlich wieder ohne starke Schmerzen stehen kann,0,0,0,0,0,1,True
Hab das Spiel nicht gesehen waren die 8 min. Verlängerung gerechtfertigt 🤔,0,0,0,0,0,1,True
Jedes mal wenn sich durchgehitlert wird ist rüdiger dabei,0,0,1,0,0,0,True
"Das Wort ""unglaublich"" ist nicht steigerbar!",0,0,0,0,0,1,True
4 :02 jjajajajaja fruch x q no le atinas,0,0,0,0,0,0,False
Sehr geiles Video. Bin so gespannt auf die nächsten Spiele von Düren,0,0,0,0,0,1,True
"Wer sich so verhält, gehört in die Psychiatrie.",0,0,1,0,1,0,True
ich bin für portugal,0,0,0,0,0,1,True
Was haben wir für einen geilen Kader !,0,0,0,0,0,1,True
Bitte  43,0,0,0,0,0,1,True
NUR DER HSV! 😂,0,0,0,0,0,1,True
Menschen wie er geben alles um hier zu bleiben und sollen aus Schwachsinnigen Gründen Abgeschoben werden 😡! Aber Menschen die hier Straftaten begehen sich nicht an die Regeln halten bleiben hier 🤔 ! 🤦‍♂️🤦‍♂️🤦‍♂️,0,0,0,0,0,1,True
Ultras Sur.,0,0,0,0,0,1,True
Ja bro will ja nichts sagen aber wenn er puskas gewinnt ist es nur weil er cr7 ist es gibt do viel bessere tore.,0,0,0,0,0,1,True
Wo war da bitte eine doppelberührung?,0,0,0,0,0,1,True
"Könnt ihr mal bitte ein best of Mo machen, würde mich richtig freuen.",0,0,0,0,0,1,True
Ronaaaaldooooooooooo,0,0,0,0,0,1,True
4:15 was sind das wieder für Sachen die Lamine da macht 😮,0,0,0,0,0,1,True
Ronaldo,0,0,0,0,0,1,True
Barca ohne Schiri  hätten die verloren eindeutig,0,0,0,0,0,1,True
Das ball Weg schlagen sollte wie Trikot ausziehen mit gelb geahndet werden,0,0,0,0,0,1,True
"Props an Leverkusen, dass sie nicht aufgegeben haben (hätte auch noch schlimmer werden können), aber man muss ganz klar sagen, die Bayern waren einfach eine Nummer zu groß. In 180 Minuten hat Leverkusen es vielleicht zwei mal geschafft, Druck aufzubauen (einmal kurz vor Ende 1. Halbzeit und einmal Mitte 2. Halbzeit), aber ansonsten waren die Bayern einfach drückend überlegen. Wenn man gegen eine Mannschaft wie Leverkusen in zwei Spielen kein Gegentor bekommt und auch so gut wie nichts zulässt, dann versteht man, was da für eine Leistung hinter steckt.",0,0,0,0,0,1,True
Also 2 Epfmeter zu viel gegeben würde ich mal sagen. Jeder kleinste Mini Kontakt ist doch nicht direkt ein Elfmeter.,0,0,0,0,0,1,True
Rodrigo,0,0,0,0,0,1,True
so sehr wollen die gegen bochum und co halt nicht gewinnen...,0,0,0,0,0,1,True
Rodrigo,0,0,0,0,0,1,True
Onana der schlechteste keeper von united ever !!!! Du machst das Team schlechter ich hoffe das du verkauft wirst !!!!,0,0,0,0,0,1,True
😃😃FC Bayern,0,0,0,0,0,1,True
Menudo robo al atlético 😡,0,0,0,0,0,1,True
Gff,0,0,0,0,0,1,True
Wird so lange nachgespielt bis Leverkusen ausgleicht…. Wie immer,0,0,0,0,0,1,True
Es kracht und pfeift,0,0,0,0,0,1,True
War eine geile Stimmung heute im Stadion👏🏻,0,0,0,0,0,1,True
"Ist das wirklich eine rote Karte?? Erstmal war das eingreifen nicht sonderlich aggressiv, gut er hat bisschen gehalten...und die Distanz zum Tor war ziemlich groß, vielleicht wäre der andere Verteidiger noch drangekommen. Was meint ihr?",0,0,0,0,0,1,True
8 Tore,0,0,0,0,0,1,True
Flick macht barca definitiv stärker so werden sie Meister ❤,0,0,0,0,0,1,True
Aber wieso kommentiert der die namen so komisch?,0,0,0,0,0,1,True
"Diesen horrorfoul, brudi du machst doch das video. Ist nichts live und du kannst retakes machen..",0,0,0,0,0,1,True
Cool,0,0,0,0,0,1,True
5:54 wenn du gerade genüsslich vom Brötchen abgebissen hast aber Jubeln willst :D,0,0,0,0,0,1,True
Sind doch gar keine Frauen...,0,0,0,0,0,1,True
"Wo die DFB Mannschaft ihren tief hatten,wurden sie von jeder kleinen Fußballnation besiegt.Seit der EM und Nagelsmann Konzept ist die DFB wieder stark,Selbstbewusster und agieren mehr wie ein Team und seit dem die Politik nicht mehr die Mannschaft bestimmt..wird sie auch besser.Diese Mannschaft könnte Weltmeister werden wenn es so weiter geht.Trotzdem muss man auch mal mit einigen Niederlagen und unentschieden rechnen.Aber weniger als vorher wenn es so weiter geht.",0,0,0,0,0,1,True
Freut mich Mega für Sané🔥,0,0,0,0,0,1,True
Je schwächer der Gegner umso mehr kann Sané glänzen.,0,0,0,0,0,1,True
Echt schade bin aber trotzdem stolz auf meine Kölner,0,0,0,0,0,1,True
Was ein Müll Schiri 😢🤬,0,0,0,0,0,1,True
9:49 jeder save tut weh wie Kanonenkugel😂😂,0,0,0,0,0,1,True
HAHAHAAHAH Diese P***+ Vini   endlich mal rot für seine Scheiße!,0,0,1,0,0,0,True
"Gota ,wirz,saka❤
👇",0,0,0,0,0,1,True
Keep up the good work! Your ideas are unique and you skillfully convey your passion for creativity.🎈🖕🍷,0,0,0,0,0,1,True
Macht einen st pauli Song!,0,0,0,0,0,1,True
Ronaldo the best,0,0,0,0,0,1,True
Lamine Yamal ❤️🇪🇸👍🏻✌🏻👀⚽👌😍😊,0,0,0,0,0,1,True
Inyesta,0,0,0,0,0,1,True
Dann einfach abschieben trotz Kreisklasse.,0,0,0,0,0,1,True
Strip charmante bitte,1,0,0,0,0,0,True
niemals rot,0,0,0,0,0,1,True
❤,0,0,0,0,0,1,True
Und Manchester lies mctominay einfach gehen und holte dafür casemiro kannste dir nicht ausdenken 😂😂😂,0,0,0,0,0,1,True
Christian Eichner,0,0,0,0,0,1,True
Together we rise,0,0,0,0,0,1,True
Vini,0,0,0,0,0,1,True
Ronaldo 🇵🇹💯❤️,0,0,0,0,0,1,True
Beste challenge bitte mehr davon!,0,0,0,0,0,1,True
Super Video,0,0,0,0,0,1,True
Warum war das Abseits? Dachte Abseits sind nur Körperteile die ein Tor erzielen können.,0,0,0,0,0,1,True
"Das war so unnötig von Mbappé 🫣. Vollkommen berechtigt die rote Karte. 
War aber ein ganz schön zähes Spiel mit vielen kleinen Fouls und auch viel Theatralik.",0,0,0,0,0,1,True
"peinlich rtl, eine frechheit! nationalmannschaft gehört ins free tv, sagt ja schon der name für die nation",0,0,0,0,0,1,True
Seit mbappe weg is. Spielt Paris wirklich Weltklasse.,0,0,0,0,0,1,True
Ein inkompetenter Schiedsrichter der ganz Klar die Karten nicht als letztes Mittel sondern als seine einzige Lösung sieht,0,0,0,0,0,1,True
Er hat alles richtig in seinem Leben gemacht 🎉🎉🎉🎉🎉,0,0,0,0,0,1,True
Einfach langweilig das Spiel England hätte locker 5:0 gewinnen können die wollten einfach nicht 😅,0,0,0,0,0,1,True
Wo ist die zweite,0,0,0,0,0,1,True
🖤❤️💛DEUTSCHLAND🖤❤️💛,0,0,0,0,0,1,True
"سلام داداشم ایرانی 😂😂
Rodrigo",0,0,0,0,0,1,True
die größte Pfeife war ja Donnaruma mit seinen Aktionen. Von wegen Nachfolger von Buffon,0,0,1,0,0,0,True
The play acting or CHEATING from grown men is what puts me off watching football anymore. It's just pathetic embarrassing and shameful. I used to love football. But have lost my love for it. I don't even like it anymore. It's a game. With cheats from the very top of the governing body to everyboard of directors at each club to the players on the pitch. Why would I want to pay to watch any of it.,0,0,0,0,0,1,True
Havertz trifft kein Scheunentor,0,0,0,0,0,1,True
"Einfach toure 😂😂, komm zurück zu ups",0,0,0,0,0,1,True
"ohhh wie ist das schöööön, so was geiles hat man schon lange nicht geseeheeeennnn",0,0,0,0,0,1,True
Lustiges Video 😂😂😂,0,0,0,0,0,1,True
Also dieser Lamine Yamal mit 17 so zu spielen unfassbar danke für deine messi vibes 🎉,0,0,0,0,0,1,True
Saka❤,0,0,0,0,0,1,True
Mach barca!,0,0,0,0,0,1,True
Schiedsrichter der hat richtig gemacht !!!,0,0,0,0,0,1,True
Wieso sehe ich keine andere Mannschaft aufgrund von Schiedsrichterentscheidungen gewinnen,0,0,0,0,0,1,True
was Baumann da noch gehalten hat ist unglaublich!,0,0,0,0,0,1,True
#Ali31er,0,0,0,0,0,1,True
Toni Kroos?,0,0,0,0,0,1,True
"Your videos are always so helpful, thank you!",0,0,0,0,0,1,True
Atlético ist auch halt keine Titel Mannschaft bei dienen fällt auch aber immer ein bisschen bis zum Titel 🥲😬😂 das tut mir,0,0,0,0,0,1,True
Saka,0,0,0,0,0,1,True
SEHR SCHLECHT - BEWEISE SIND FAKE,0,0,0,0,0,1,True
Regelkonform Von Yamien lauft im 16er rein bevor er ihn den Elfer rein macht,0,0,0,0,0,1,True
Wie geil ist das denn,0,0,0,0,0,1,True
geiler song könnt ihr aber bitte mal einen Alaba song machen,0,0,0,0,0,1,True
Warum hat Tah eigentlich mitgespielt? Der läuft ja nur im Spaziergang das ganze Spiel,0,0,0,0,0,1,True
"Роналдо
😅",0,0,0,0,0,1,True
2 Dinge: 1) Fußball in den oberen Liegen hat mit Sport nix mehr zu tun. 2) Die Fankultur ist nur noch zum Kotz....,0,0,1,0,0,0,True
Hab so Bock auf diesen Fußball,0,0,0,0,0,1,True
Jungs das kommt ein bisschen spät an der Trend ist schon seit 5 Monaten aus😂😂😂,0,0,0,0,0,1,True
-sgdhs-,0,0,0,0,0,1,True
Die Abwehrspieler sind schwach 🤨,0,0,0,0,0,1,True
"Wow, gegen Albanien, respekt 👍",0,0,0,0,0,1,True
"3:00 wieder so ein typischer Kane Elfmeter zum unwichtigen 4:0. der kann sonst wirklich nichts. Und dafür 100 Mio? Der Oberwitz, wie kann man nur so dumm sein?",0,0,0,0,1,0,True
und wieso nur 3 min??  macht mal ausführlicher bitte,0,0,0,0,0,1,True
"Junge junge aber Paris war wirklich besser, verdient gewonnen",0,0,0,0,0,1,True
How could Cristiano Ronaldo were the small size 7 boots in 90 mins,0,0,0,0,0,1,True
Hala Madrid 🤍,0,0,0,0,0,1,True
"Wer zugelassen hat, dass weiße Trikots gegen pissgelbe spielen dürfen, sollte echt eingewiesen werden.",0,0,1,0,1,0,True
Beier,0,0,0,0,0,1,True
Keinen in Deutschland juckt Frauenfußball!!!!!! Eine Beleidigung für den schönen Sport. Frauen müssen einem auch alles verderben.,1,0,0,0,0,0,True
Möchte dich auch treffen 😂❤🎉,0,0,0,0,0,1,True
💀💀💀💀,0,0,0,0,0,1,True
Du noch 😀😀😀😀😀😀😀😀😀😀,0,0,0,0,0,1,True
❤❤❤❤❤,0,0,0,0,0,1,True
"Da soll mir einer sagen, die Spieler sind  nicht alle gekauft =)",0,0,0,0,0,1,True
Mit Herz gespielt!! Hoffentlich reicht es für das Rückspiel am Sonntag!,0,0,0,0,0,1,True
madrids ausgleichtor fast ne kopie vom manU tor im CL finale 1999 lol,0,0,0,0,0,1,True
Habe jetzt voll Bock auf Pasta 🍝,0,0,0,0,0,1,True
Saka,0,0,0,0,0,1,True
BOCHUM WAUU BEIM BAYERN PUNKTE KLAU ❤😂❤ GLÜCKWUNSCH ZUM SIEG ❤ AUS HAMBURG ❤,0,0,0,0,0,1,True
Ancelotti so schlecht! Heute mal ohne Glück!,0,0,0,0,0,1,True
4:02 wenn man am Arm getroffen wird hat man Schmerzen am Kopf... interessant.,0,0,0,0,0,1,True
Wer nichts wird wird Wirtz !,0,0,0,0,0,1,True
"Werde madrid fan hatten sie gesagt, es mach Spaß hatten sie gesagt... das du jedes spiel fast ein Herzinfarkt bekommst hatten niemand gesagt.",0,0,0,0,0,1,True
Unter 1h hier 👇,0,0,0,0,0,1,True
"So ein Verhalten ist doch in den Medien, Politik und anderswo zum Standard für Doppelmoral geworden!!!",0,0,0,0,0,1,True
"Sorry aber als sie bei 1:23 auf die krumme Außenlinie scharf stellen, musste ich lachen. Denis war kompetent, man hat gesehen dass er Erfahrung hat.",0,0,0,0,0,1,True
"Könnte denn die laufende Uhrzeit des Spiels nicht gezeigt werden? Das tut doch extrem viel,  besonders für so eine Aufholjag! Andere machen das auch, und es fällt mir extram auf, wie gut es ist wenn man die Spielminuten sehen kann. Habt ihr das Gefühl vielleicht auch?",0,0,0,0,0,1,True
im your  mom and yuor in trooboll,0,0,0,0,0,1,True
Übertreib halt beim 4:0 das ist ein klarer Fehler vom Torwart 5:50,0,0,0,0,0,1,True
Brotatos beim Essen beste,0,0,0,0,0,1,True
☠️☠️☠️,0,0,0,0,0,1,True
"Was sind das für Elfmeterentscheidungen? Schon beim ersten Elfmeter zum 1:1 trifft der Benfica-Verteidiger den Ball (der Ball fliegt komplett nach außen), auch wenn er ihm auf den Fuß tritt. Und der an Yamal ist maximal lächerlich.
Elfmeter sind so spielentscheidend und werden einfach nur inflationär vergeben",0,0,0,0,0,1,True
Bayern ist und bleibt  die beste deutsche Mannschaft,0,0,0,0,0,1,True
"Warte mal, ging dem Siegtreffer nicht ein klares Foul im gegnerischen Strafraum voraus?🤔",0,0,0,0,0,1,True
GORETZKAAAAAAAAAAAAAAAAAAAAAA,0,0,0,0,0,1,True
Dortmund hätte ja eh verloren 😂,0,0,0,0,0,1,True
Salin,0,0,0,0,0,1,True
Ich finde deine Viedios soooooooo cool,0,0,0,0,0,1,True
Sane und Tore schießen. 🙄,0,0,0,0,0,1,True
Laporte vs miami💀,0,0,0,0,0,1,True
Ganz schlechte Tonaufnahme DAZN,0,0,0,0,0,1,True
"Die zweite Hälfte tut nicht nur der Mannschaft, sondern auch uns Fans so gut!",0,0,0,0,0,1,True
Messi ❤,0,0,0,0,0,1,True
ein 3.-ligist im europa pokal???,0,0,0,0,0,1,True
Messi halt goat,0,0,0,0,0,1,True
Man merkt wie die Kommentatoren gegen vini die ganze Zeit sticheln ..,0,0,0,0,0,1,True
bitte mach mal die schlimmsten fauls,0,0,0,0,0,1,True
Der Kameraman hat gemoved.,0,0,0,0,0,1,True
Team Freiburg ❤👇,0,0,0,0,0,1,True
"Kein Bayern Fan aber Neuer ist eine Maschine. Stellt sich seit fast einem Jahr das erste mal wieder in einer Partie ins Tor, als wäre er nie weg gewesen.",0,0,0,0,0,1,True
❤❤❤🎉🙏💤🤣🙆🍀🤝,0,0,0,0,0,1,True
Donnarumma war echt absolut weltklasse!,0,0,0,0,0,1,True
Und jetzt versuchen mit Skill❤,0,0,0,0,0,1,True
